,processed_by,block,pot_id,trt,sampled,volume_cm_cubed,raw_total_length_mm,mean_radius_mm,dpi,border_pixels,particle_clean_size,circularity,min_threshold,max_threshold,remarks
59,GX,B4,EMNI-19,WW,pot,2299.57,-,-,-,-,-,-,-,dead plant (GX),no raw image?
60,TTR,B2,EMNI-20,WW,pot,2299.57,831.0457,0.5291667,600,50,1,0.75,0,190,#P 900
61,-,B1,FERU-01,WD,-,2299.57,-,-,-,-,-,-,-,-,-
62,-,B4,FERU-02,WW,-,2299.57,-,-,-,-,-,-,-,-,-
63,-,B1,FERU-03,WW,-,2299.57,-,-,-,-,-,-,-,-,-
64,-,B4,FERU-04,WD,-,2299.57,-,-,-,-,-,-,-,-,-
65,GX,B1,FERU-05,WD,pot,2299.57,395450,0.3158142,600,50,1,0.75,0,185,-
66,-,B2,FERU-06,WD,-,2299.57,-,-,-,-,-,-,-,-,-
67,-,B3,FERU-07,WW,-,2299.57,-,-,-,-,-,-,-,-,-
68,GX,B5,FERU-08,WD,pot,2299.57,80924.82,0.4021657,,-,-,-,-,-,-
69,-,B4,FERU-09,WD,-,2299.57,-,-,-,-,-,-,-,-,-
70,GX,B5,FERU-10,WD,pot,2299.57,426249,0.2669214,-,-,-,-,-,-,-
71,-,B5,FERU-11,WW,-,2299.57,-,-,-,-,-,-,-,-,-
72,GX,B2,FERU-12,WW,pot,2299.57,705437.6,0.3325103,600,50,1,0.75,0,185,-
73,-,B3,FERU-13,WD,-,2299.57,-,-,-,-,-,-,-,-,-
74,-,B2,FERU-14,WW,-,2299.57,-,-,-,-,-,-,-,-,-
75,-,B3,FERU-15,WD,-,2299.57,-,-,-,-,-,-,-,-,-
76,GX,B1,FERU-16,WW,pot,2299.57,946267.4,0.3106156,600,50,1,0.75,0,185,-
77,-,B5,FERU-17,WW,-,2299.57,-,-,-,-,-,-,-,-,-
78,GX,B3,FERU-18,WW,pot,2299.57,1283186,0.3387693,600,50,1,0.75,0,185,-
79,-,B2,FERU-19,WD,-,2299.57,-,-,-,-,-,-,-,-,-
80,GX,B4,FERU-20,WW,pot,2299.57,660296,0.3006648,600,50,1,0.75,0,185,-
81,TTR,B2,PLMA-01,WW,pot,2299.57,41352.85,0.9216105,600,50,1,0.75,0,190,#P 2000-4000
82,TTR,B3,PLMA-02,WD,pot,2299.57,94894.95,0.7880412,600,50,1,0.75,0,190,#P 3000-9000
83,TTR,B4,PLMA-03,WW,pot,2299.57,21242.27,0.8455716,600,50,1,0.75,0,190,P 1800-3000
84,GX,B3,PLMA-04,WW,pot,2299.57,15336.18,0.8867714,600,50,1,0.75,0,190,"changed from ""WD"" to ""WW'"
85,TTR,B1,PLMA-05,WW,pot,2299.57,108030.3,0.668649,600,50,1,0.75,0,190,#P 1000-10000
86,TTR,B2,PLMA-06,WD,pot,2299.57,51736.54,0.8081036,600,50,1,0.75,0,190,#P ???
87,TTR,B4,PLMA-07,WD,pot,2299.57,64350.26,0.898407,600,50,1,0.75,0,190,#P 4000-6000
88,TTR,B5,PLMA-08,WW,pot,2299.57,94221.34,0.7643064,600,50,1,0.75,0,190,#P 600-6000
89,TTR,B4,PLMA-09,WW,pot,2299.57,37332.16,0.6782637,600,50,1,0.75,0,190,"#P 4000-6000 (TR); changed from ""WD"" to ""WW"" (GX)"
90,TTR,B1,PLMA-10,WD,pot,2299.57,35978.93,0.9093026,600,50,1,0.75,0,190,#P 1300-4000
91,GX,B1,PLMA-11,WW,pot,2299.57,3856.778,0.508,600,50,1,0.75,0,190,-
92,TTR,B3,PLMA-12,WW,pot,2299.57,31722.69,0.966252,600,50,1,0.75,0,190,#P 3000-8000
93,GX,B4,PLMA-13,WD,pot,2299.57,49264.02,1.256469,600,50,1,0.75,0,190,-
94,TTR,B3,PLMA-14,WD,pot,2299.57,15330.68,0.7501041,600,50,1,0.75,0,190,#P 1500-2000
95,TTR,B5,PLMA-15,WD,pot,2299.57,16687.42,0.7503214,600,50,1,0.75,0,190,"epson, #P 1500-3000"
96,GX,B1,PLMA-16,WD,pot,2299.57,10356.47,1.993308,600,50,1,0.75,0,190,-
97,TTR,B2,PLMA-17,WW,pot,2299.57,61236.39,0.8794463,600,50,1,0.75,0,190,"#P 3000-15000, image 7 EDITED"
98,TTR,B2,PLMA-18,WD,pot,2299.57,44411.6,0.8836545,600,50,1,0.75,0,190,#P 2000-5000
99,TTR,B5,PLMA-19,WD,pot,2299.57,71664.83,0.9295,600,50,1,0.75,0,190,#P 1000-5000
100,GX,B5,PLMA-20,WW,pot,2299.57,45838.07,1.34623,600,50,1,0.75,0,190,-
101,-,B1,SC-01,WD,-,2299.57,-,-,-,-,-,-,-,-,-
102,-,B3,SC-02,WD,-,2299.57,-,-,-,-,-,-,-,-,-
103,-,B4,SC-03,WD,-,2299.57,-,-,-,-,-,-,-,-,-
104,-,B5,SC-04,WW,-,2299.57,-,-,-,-,-,-,-,-,-
105,-,B4,SC-05,WW,-,2299.57,-,-,-,-,-,-,-,-,-
106,-,B5,SC-06,WW,-,2299.57,-,-,-,-,-,-,-,-,-
107,-,B2,SC-07,WD,-,2299.57,-,-,-,-,-,-,-,-,-
108,-,B5,SC-08,WD,-,2299.57,-,-,-,-,-,-,-,-,-
109,-,B1,SC-09,WW,-,2299.57,-,-,-,-,-,-,-,-,-
