typed_by_dry,recorded_by_dry,typed_date_ymd,record_date_ymd,block ,pot_ID,treatment,fine/coarse,envelope_num,below_dry_g,remarks
-,-,-,-,B3,EMNI-16,WW,-,-,-,-
SK,SK,2019-01-23,2019-01-21,B5,EMNI-17,WD,fine,1,0.0037,-
SK,SK,2019-01-23,2019-01-21,B3,EMNI-18,WD,fine,1,0.002,-
-,-,-,-,B4,EMNI-19,WW,-,-,-,-
SK,SK,2019-01-23,2019-01-21,B2,EMNI-20,WW,fine,1,0.0067,-
-,-,-,-,B1,FERU-01,WD,-,-,-,-
-,-,-,-,B4,FERU-02,WW,-,-,-,-
-,-,-,-,B1,FERU-03,WW,-,-,-,-
-,-,-,-,B4,FERU-04,WD,-,-,-,-
GK,GK,2019-04-30,2019-04-30,B1,FERU-05,WD,fine,1,1.1569,-
-,-,-,-,B2,FERU-06,WD,-,-,-,-
-,-,-,-,B3,FERU-07,WW,-,-,-,-
GK,GK,2019-04-30,2019-04-30,B5,FERU-08,WD,fine,1,0.4498,-
-,-,-,-,B4,FERU-09,WD,-,-,-,-
-,-,-,-,B5,FERU-10,WD,fine,-,1.0258,-
-,-,-,-,B5,FERU-11,WW,-,-,,-
GK,GK,2019-04-30,2019-04-30,B2,FERU-12,WW,fine,1,3.2158,-
-,-,-,-,B3,FERU-13,WD,-,-,-,-
-,-,-,-,B2,FERU-14,WW,-,-,-,-
-,-,-,-,B3,FERU-15,WD,-,-,-,-
GK,GK,2019-04-30,2019-04-30,B1,FERU-16,WW,fine,1,2.7252,-
-,-,-,-,B5,FERU-17,WW,-,-,-,-
GK,GK,2019-04-30,2019-04-30,B3,FERU-18,WW,fine,1,3.6313,-
-,-,-,-,B2,FERU-19,WD,-,-,-,-
GK,GK,2019-04-30,2019-04-30,B4,FERU-20,WW,fine,1,1.2049,-
SK,GX,2019-01-23,2019-01-22,B2,PLMA-01,WW,fine,1,2.6891,-
SK,GX,2019-01-23,2019-01-22,B3,PLMA-02,WD,fine,1,2.9126,-
SK,SK,2019-01-23,2019-01-21,B4,PLMA-03,WW,fine,1,0.3932,-
SK,GX,2019-01-23,2019-01-22,B3,PLMA-04,WW,fine,1,0.5025,-
SK,GX,2019-01-23,2019-01-22,B1,PLMA-05,WW,fine,1,0.599,-
SD,SD,2019-01-25,2019-01-25,B2,PLMA-06,WD,fine,1,0.331,-
SK,GX,2019-01-23,2019-01-22,B4,PLMA-07,WD,fine,1,0.4498,-
SK,SK,2019-01-23,2019-01-21,B5,PLMA-08,WW,fine,1,0.5077,-
SK,SK,2019-01-23,2019-01-21,B4,PLMA-09,WW,fine,1,0.2154,-
SK,SK,2019-01-23,2019-01-21,B1,PLMA-10,WD,fine,1,0.3297,-
